
INSTRUMENT1,17-Jun-1996,2.705
INSTRUMENT1,18-Jun-1996,2.702
INSTRUMENT1,19-Jun-1996,2.7095
INSTRUMENT1,20-Jun-1996,2.7205
INSTRUMENT1,21-Jun-1996,2.7224
INSTRUMENT1,24-Jun-1996,2.7245
INSTRUMENT1,25-Jun-1996,2.7235
INSTRUMENT1,26-Jun-1996,2.718
INSTRUMENT1,27-Jun-1996,2.7145
INSTRUMENT1,28-Jun-1996,2.7195
INSTRUMENT1,01-Jul-1996,2.726
INSTRUMENT1,02-Jul-1996,2.7315
INSTRUMENT1,03-Jul-1996,2.7335
INSTRUMENT1,04-Jul-1996,2.7335
INSTRUMENT1,05-Jul-1996,2.7205
INSTRUMENT1,08-Jul-1996,2.725
INSTRUMENT1,09-Jul-1996,2.7285
INSTRUMENT1,10-Jul-1996,2.73
INSTRUMENT1,11-Jul-1996,2.731
INSTRUMENT1,12-Jul-1996,2.7175
INSTRUMENT1,15-Jul-1996,2.7237
INSTRUMENT1,16-Jul-1996,2.7
INSTRUMENT1,17-Jul-1996,2.6955
INSTRUMENT1,18-Jul-1996,2.707
INSTRUMENT1,19-Jul-1996,2.7105
INSTRUMENT1,22-Jul-1996,2.71
INSTRUMENT1,23-Jul-1996,2.701
INSTRUMENT1,24-Jul-1996,2.705
INSTRUMENT1,25-Jul-1996,2.709
INSTRUMENT1,26-Jul-1996,2.7038
INSTRUMENT1,29-Jul-1996,2.7016
INSTRUMENT1,30-Jul-1996,2.7015
INSTRUMENT1,31-Jul-1996,2.6985
INSTRUMENT1,01-Aug-1996,2.7055
INSTRUMENT1,02-Aug-1996,2.709
INSTRUMENT1,05-Aug-1996,2.706
INSTRUMENT1,06-Aug-1996,2.7185
INSTRUMENT1,07-Aug-1996,2.7235
INSTRUMENT1,08-Aug-1996,2.726
INSTRUMENT1,09-Aug-1996,2.7195
INSTRUMENT1,12-Aug-1996,2.7165
INSTRUMENT1,13-Aug-1996,2.722
INSTRUMENT1,14-Aug-1996,2.7305
INSTRUMENT1,15-Aug-1996,2.733
INSTRUMENT1,16-Aug-1996,2.7405
INSTRUMENT1,19-Aug-1996,2.739
INSTRUMENT1,20-Aug-1996,2.74
INSTRUMENT1,21-Aug-1996,2.7345
INSTRUMENT1,22-Aug-1996,2.7375
INSTRUMENT1,23-Aug-1996,2.7395
INSTRUMENT1,26-Aug-1996,2.7297
INSTRUMENT1,27-Aug-1996,2.7297
